ensgene,gso32.BL6.N.N.4h.1,gso32.BL6.IFNb.N.4h.1,gso32.BL6.N.N.4h.2,gso32.BL6.IFNb.N.4h.2,gso32.BL6.N.N.24h.1,gso32.BL6.IFNb.N.24h.1,gso32.BL6.N.N.24h.2,gso32.BL6.IFNb.N.24h.2
ENSMUSG00000040264,65,13862,33,14830,444,4672,362,5066
ENSMUSG00000040253,202,13867,190,14489,2042,6022,1700,6920
ENSMUSG00000028268,145,22281,122,23206,977,8688,804,9364
ENSMUSG00000028270,406,133241,316,129771,1412,23589,1129,23887
ENSMUSG00000040213,78,41,53,28,59,12,80,18
ENSMUSG00000028271,1179,891,1151,863,1220,880,1166,891
ENSMUSG00000004591,957,1128,1014,1131,1107,1105,972,1176
ENSMUSG00000028266,959,964,959,939,699,1008,772,943
ENSMUSG00000040151,1315,518,1363,530,1127,608,1185,642
ENSMUSG00000037072,6943,4534,7289,4575,6857,4841,6808,4850
ENSMUSG00000037062,6233,12660,6689,13114,9125,9351,8948,9841
ENSMUSG00000028256,215,158,224,163,168,138,201,150
ENSMUSG00000074182,269,47,283,56,139,170,165,175
ENSMUSG00000028191,1399,732,1316,755,1962,1156,1800,1291
ENSMUSG00000036873,257,176,301,204,213,286,173,270
ENSMUSG00000036853,19,5,15,5,40,49,37,58
ENSMUSG00000011008,286,693,261,619,967,1173,918,1087
ENSMUSG00000036825,474,92,521,120,198,150,214,176
ENSMUSG00000028189,614,449,644,507,569,770,589,837
ENSMUSG00000028188,57,25,64,24,69,40,64,41
ENSMUSG00000068523,833,748,757,659,691,601,647,713
ENSMUSG00000028187,916,256,908,245,521,729,497,687
ENSMUSG00000005034,7039,2024,7922,2005,9201,5725,9613,5959
ENSMUSG00000103349,1,0,8,9,3,3,33,25
ENSMUSG00000028184,627,184,676,204,841,393,841,437
ENSMUSG00000047676,9164,4953,9929,5377,9223,4076,8176,3966
ENSMUSG00000028037,152,16803,95,16009,415,15401,338,16466
ENSMUSG00000039131,25,4,30,3,21,2,23,1
ENSMUSG00000028035,1273,412,1160,409,592,344,580,336
ENSMUSG00000028034,2567,812,2780,758,731,1028,812,1047
ENSMUSG00000054942,182,35,240,29,220,56,262,65
ENSMUSG00000025437,1300,634,1404,612,1321,996,1339,1043
ENSMUSG00000039068,973,351,1034,325,1135,890,1062,932
ENSMUSG00000039047,1435,920,1483,886,1223,1184,1165,1249
ENSMUSG00000038975,752,283,699,234,584,562,587,644
ENSMUSG00000062908,1876,646,1784,557,1824,1076,1767,1042
ENSMUSG00000093738,10,5,10,4,1,1,1,0
ENSMUSG00000047583,102,21,88,32,67,39,63,36
ENSMUSG00000028199,260,101,261,138,383,144,335,141
ENSMUSG00000053870,564,391,581,429,505,570,500,617
ENSMUSG00000028180,1656,650,1757,657,1173,1219,1269,1385
ENSMUSG00000040016,6,0,1,1,20,4,13,6
ENSMUSG00000039988,975,640,1144,574,839,741,853,780
ENSMUSG00000055436,3405,1823,3630,1791,2772,2231,2874,2301
ENSMUSG00000063052,835,528,874,532,885,519,812,577
ENSMUSG00000028175,243,10,259,16,252,12,228,18
ENSMUSG00000028173,2051,1499,2171,1466,2905,1905,2962,1947
ENSMUSG00000028232,852,658,879,723,627,1150,643,1180
ENSMUSG00000028233,1135,1371,1336,1321,1307,1355,1213,1418
ENSMUSG00000042228,6644,15851,7405,17579,5702,13735,5872,14484
ENSMUSG00000097860,27,76,19,63,16,96,16,96
ENSMUSG00000028234,4065,4237,3553,3753,4791,3742,4438,3741
ENSMUSG00000003282,71,146,71,163,175,68,176,72
ENSMUSG00000042198,341,742,337,667,379,275,370,268
ENSMUSG00000068240,2969,2195,2612,1945,3067,1905,2814,1726
ENSMUSG00000045573,32,11,26,16,36,9,40,13
ENSMUSG00000066324,1221,714,1436,699,1021,685,1019,749
ENSMUSG00000049119,198,167,176,160,424,250,421,235
ENSMUSG00000028243,322,214,385,257,295,264,324,352
ENSMUSG00000028249,21304,33963,22108,34247,27241,28211,26666,30777
ENSMUSG00000028245,921,2049,904,2167,1169,1467,1043,1630
ENSMUSG00000047187,3073,2444,2946,2422,2891,2345,2804,2533
ENSMUSG00000041235,430,1251,529,1550,120,185,116,267
ENSMUSG00000028207,3420,8135,3411,8312,2612,10045,2405,11466
ENSMUSG00000059482,338,237,310,249,228,301,224,322
ENSMUSG00000049969,1061,6172,1058,5941,885,2116,838,2251
ENSMUSG00000050323,118,74,115,71,36,94,49,102
ENSMUSG00000028211,1181,1007,1411,929,6448,3904,6385,4715
ENSMUSG00000028212,1279,435,1310,393,225,172,271,221
ENSMUSG00000040738,839,878,923,940,611,580,650,636
ENSMUSG00000045205,1163,494,1439,558,1484,530,1376,582
ENSMUSG00000040720,1888,1140,2003,1118,1797,1351,1818,1498
ENSMUSG00000078773,282,90,313,84,147,44,176,31
ENSMUSG00000094595,16,2,13,2,5,1,6,2
ENSMUSG00000028214,11,29,6,19,5,17,10,23
ENSMUSG00000049225,361,258,377,244,570,817,539,808
ENSMUSG00000049488,156,1980,202,1968,360,570,289,609
ENSMUSG00000052137,274,209,291,185,240,172,209,212
ENSMUSG00000046667,106,28,118,30,72,37,79,42
ENSMUSG00000028218,462,214,516,194,359,61,373,76
ENSMUSG00000055963,31,9,22,18,35,4,33,8
ENSMUSG00000040550,1610,451,1795,447,935,755,958,729
ENSMUSG00000028221,1339,644,1329,656,1345,1188,1373,1264
ENSMUSG00000043252,794,154,958,175,586,178,523,202
ENSMUSG00000028223,681,387,718,399,754,464,783,512
ENSMUSG00000028224,590,245,552,241,348,408,338,449
ENSMUSG00000041153,463,259,481,309,160,481,158,550
ENSMUSG00000041135,561,1771,575,1835,324,805,297,776
ENSMUSG00000028228,1557,3266,1783,3366,3128,1881,3231,2029
ENSMUSG00000028229,217,75,227,79,770,251,796,228
ENSMUSG00000078772,1,0,0,0,11,7,20,10
ENSMUSG00000041058,7466,2342,7688,2404,24042,10394,23049,9572
ENSMUSG00000041052,1,1,2,0,29,3,31,3
ENSMUSG00000028238,2231,2075,2089,1700,3145,1442,2310,1256
ENSMUSG00000073987,1986,1521,1947,1466,2334,1506,2216,1628
ENSMUSG00000040478,4,5,1,0,0,29,0,19
ENSMUSG00000028252,935,589,1031,605,616,435,512,514
ENSMUSG00000028251,740,609,706,589,604,634,587,642
ENSMUSG00000040455,1083,762,1187,814,1281,943,1229,1110
ENSMUSG00000028248,1655,766,1626,795,2173,1386,2256,1406
ENSMUSG00000028247,357,132,334,131,141,145,151,166
ENSMUSG00000040410,332,185,359,146,329,407,326,391
ENSMUSG00000045751,658,228,677,243,295,142,312,119
ENSMUSG00000028261,486,73,476,65,120,213,107,211
ENSMUSG00000040359,926,305,970,297,747,519,772,541
ENSMUSG00000040520,1149,345,1214,434,1376,642,1356,610
ENSMUSG00000028284,1736,571,1893,659,1780,1229,1822,1261
ENSMUSG00000040270,105,12,115,10,72,35,77,40
ENSMUSG00000028282,834,399,947,429,543,476,537,458
ENSMUSG00000058006,861,46,933,65,166,267,162,264
ENSMUSG00000045854,255,198,203,161,254,254,254,243
ENSMUSG00000028278,167,86,152,66,663,453,617,419
ENSMUSG00000028277,2605,2288,2928,2639,1768,1656,1742,1683
ENSMUSG00000040128,892,1604,892,1771,3752,2179,3432,2194
ENSMUSG00000028274,938,700,981,667,573,548,602,587
ENSMUSG00000028291,1196,773,1196,680,1145,1046,1163,1075
ENSMUSG00000040044,1200,585,1313,551,1282,947,1189,941
ENSMUSG00000028292,638,203,597,214,332,377,392,366
ENSMUSG00000028293,442,113,399,126,344,255,317,332
ENSMUSG00000028295,214,167,187,176,248,289,225,287
ENSMUSG00000039967,760,521,872,502,1150,753,1131,853
ENSMUSG00000073910,216,116,281,141,262,49,232,40
ENSMUSG00000028300,757,1372,792,1327,939,1474,900,1587
ENSMUSG00000028405,1967,612,2050,624,1438,1104,1435,1135
ENSMUSG00000040296,1535,20613,1543,21055,4161,15187,4194,16077
ENSMUSG00000036822,1103,736,1100,716,1172,1205,1259,1326
ENSMUSG00000071014,626,356,510,393,399,338,400,371
ENSMUSG00000028411,358,323,356,304,389,537,409,501
ENSMUSG00000028410,955,1769,952,1686,499,824,551,854
ENSMUSG00000028409,2062,1404,2074,1382,1569,1451,1458,1507
ENSMUSG00000028413,4598,2853,5119,2841,4676,6524,4610,6882
ENSMUSG00000028416,3276,3810,3264,3830,2275,3046,2447,3049
ENSMUSG00000028419,2074,2309,2029,2325,2358,2112,2259,2255
ENSMUSG00000028423,1418,350,1330,354,1175,1151,1215,1245
ENSMUSG00000028430,1994,489,1968,552,894,1083,897,1079
ENSMUSG00000036241,2765,3408,2784,3218,3847,3360,3845,3118
ENSMUSG00000028433,2253,743,2447,825,1786,1183,1747,1140
ENSMUSG00000028436,1851,1081,1842,1071,2282,1352,2232,1294
ENSMUSG00000028437,1791,2098,1760,2140,2143,2445,2064,2471
ENSMUSG00000028438,393,207,435,229,202,63,202,74
ENSMUSG00000028443,403,234,401,242,293,187,326,237
ENSMUSG00000046312,26,14,17,8,29,21,39,14
ENSMUSG00000028439,749,459,749,467,1476,1075,1472,985
ENSMUSG00000061322,12,5,5,1,37,22,55,22
ENSMUSG00000028445,48,18,54,12,181,303,180,322
ENSMUSG00000073889,639,380,595,316,654,482,665,439
ENSMUSG00000036114,493,256,362,256,369,288,352,292
ENSMUSG00000028447,1267,1159,1244,1081,1242,997,1080,1015
ENSMUSG00000036078,2412,1910,2438,2153,1050,1846,1067,1751
ENSMUSG00000036073,398,233,388,199,481,530,520,506
ENSMUSG00000073888,28,19,25,14,94,19,83,15
ENSMUSG00000073876,18,10,10,5,22,9,15,8
ENSMUSG00000036062,25,4,29,7,66,17,54,13
ENSMUSG00000036052,371,173,384,201,400,303,430,270
ENSMUSG00000028452,2473,1211,2645,1323,1995,1236,1991,1169
ENSMUSG00000028453,661,316,701,294,622,257,622,258
ENSMUSG00000028454,252,139,287,135,265,214,238,217
ENSMUSG00000028455,702,286,679,281,546,516,478,441
ENSMUSG00000036002,2194,2358,1974,2374,1567,2123,1464,2131
ENSMUSG00000096974,13,6,7,4,14,1,10,9
ENSMUSG00000028456,29,15,38,10,50,12,38,23
ENSMUSG00000035969,606,616,620,612,975,854,1015,756
ENSMUSG00000028458,1273,1057,1175,1054,814,816,760,728
ENSMUSG00000028459,4707,17404,4359,17940,1732,37790,1728,39847
ENSMUSG00000088088,0,0,1,0,0,0,0,0
ENSMUSG00000028461,472,282,433,261,209,376,220,357
ENSMUSG00000051517,623,50,571,36,565,73,628,45
ENSMUSG00000028463,313,136,318,136,173,238,219,251
ENSMUSG00000028464,15,14,17,12,8,6,10,3
ENSMUSG00000028465,24664,18395,25628,21011,18355,15569,18892,15327
ENSMUSG00000028466,1321,2363,1221,2438,998,1766,983,1749
ENSMUSG00000028467,502,256,479,273,495,517,507,534
ENSMUSG00000028468,987,557,1082,605,757,786,734,821
ENSMUSG00000028470,321,194,288,176,376,309,362,296
ENSMUSG00000043633,3537,3496,3056,3173,3344,2974,3254,3226
ENSMUSG00000078716,74,24,89,15,107,54,105,46
ENSMUSG00000028476,108,34,112,32,83,29,79,40
ENSMUSG00000028480,559,6398,493,6107,545,1220,539,1226
ENSMUSG00000028478,9695,5331,8719,5158,14517,5700,14254,5311
ENSMUSG00000028479,585,131,618,142,444,504,468,496
ENSMUSG00000035696,1169,599,1335,492,2139,1029,2058,1083
ENSMUSG00000035683,988,239,1105,232,868,91,955,118
ENSMUSG00000035649,583,187,641,216,429,450,475,587
ENSMUSG00000035637,147,30,116,25,104,47,120,43
ENSMUSG00000049657,327,752,336,738,531,360,588,440
ENSMUSG00000028318,244,22,236,27,100,88,92,89
ENSMUSG00000048232,171,38,179,55,263,129,232,167
ENSMUSG00000078713,812,294,746,284,471,572,462,557
ENSMUSG00000035601,217,94,170,81,204,163,218,178
ENSMUSG00000028322,319,193,306,202,170,231,180,250
ENSMUSG00000035572,600,284,702,345,583,447,665,484
ENSMUSG00000045973,1348,868,1430,841,1687,943,1691,1035
ENSMUSG00000044813,185,127,139,116,106,184,112,170
ENSMUSG00000035561,258,5885,209,5983,219,753,197,876
ENSMUSG00000028327,77,281,73,318,38,521,41,548
ENSMUSG00000035539,47,26,53,23,19,65,31,66
ENSMUSG00000035517,1348,4153,1310,4310,1355,3875,1343,4048
ENSMUSG00000028328,78,137,80,124,192,80,211,65
ENSMUSG00000035495,703,599,774,558,845,752,801,779
ENSMUSG00000028330,1547,359,1590,378,706,590,757,573
ENSMUSG00000028329,267,132,245,174,513,306,419,319
ENSMUSG00000028331,143,41,149,36,64,92,66,120
ENSMUSG00000028333,4243,1458,4178,1553,2795,1899,2775,1727
ENSMUSG00000028334,2187,701,2082,681,1408,1101,1555,991
ENSMUSG00000039853,857,2655,858,2756,1463,3251,1329,3279
ENSMUSG00000028337,3794,12449,4119,13573,3402,9179,3546,10134
ENSMUSG00000039813,221,35,201,42,226,263,251,246
ENSMUSG00000039809,17,4,17,5,20,4,9,4
ENSMUSG00000048824,5,2,5,3,18,29,20,20
ENSMUSG00000066191,218,64,193,52,210,137,225,151
ENSMUSG00000039774,604,350,634,282,640,563,656,551
ENSMUSG00000028339,31,1,38,8,26,12,22,11
ENSMUSG00000007613,4724,708,5456,856,2314,1802,2450,2223
ENSMUSG00000039740,906,267,897,261,437,588,370,621
ENSMUSG00000053317,880,569,801,470,671,487,622,480
ENSMUSG00000028341,10,25,3,24,6,4,1,3
ENSMUSG00000061455,1028,387,1021,385,1309,759,1165,796
ENSMUSG00000028343,2486,2436,2414,2328,2046,2405,1897,2576
ENSMUSG00000028344,349,136,362,163,411,185,436,192
ENSMUSG00000028345,879,292,886,288,653,761,575,706
ENSMUSG00000039693,45,14,55,17,11,3,9,5
ENSMUSG00000028347,114,52,95,63,1,5,1,3
ENSMUSG00000044018,789,141,810,169,482,368,488,414
ENSMUSG00000039634,94,74,113,73,197,87,156,102
ENSMUSG00000039611,20,4,13,1,27,2,19,2
ENSMUSG00000028309,1318,511,1389,574,1168,966,1119,986
ENSMUSG00000028312,3426,961,3934,1122,2053,505,2362,629
ENSMUSG00000061619,45,94,33,78,14,68,17,49
ENSMUSG00000015247,1222,883,1200,838,843,946,909,965
ENSMUSG00000015243,7807,4448,8237,4941,29185,7318,24516,7105
ENSMUSG00000086712,79,18,58,11,51,115,50,93
ENSMUSG00000028412,2726,1310,2840,1555,2060,1027,1971,1200
ENSMUSG00000054752,236,104,314,121,170,32,205,47
ENSMUSG00000028414,398,46,407,63,194,173,230,203
ENSMUSG00000028417,7,4,7,0,5,3,4,3
ENSMUSG00000028420,442,450,489,448,294,490,276,513
ENSMUSG00000060206,10,36,10,22,5,14,5,20
ENSMUSG00000028426,4821,2500,4968,2458,3766,4002,3699,3966
ENSMUSG00000003032,776,538,833,533,531,495,467,487
ENSMUSG00000028431,1043,258,1087,317,749,601,703,643
ENSMUSG00000038827,414,99,447,98,360,296,373,351
ENSMUSG00000038816,51,29,53,36,27,15,25,18
ENSMUSG00000055296,1370,189,1623,249,941,500,1033,545
ENSMUSG00000038764,50,28,59,18,16,18,22,13
ENSMUSG00000028367,5671,18795,5507,17344,3199,3061,3409,3595
ENSMUSG00000038668,43,420,38,418,23,140,15,158
ENSMUSG00000050812,2574,1485,2922,1529,2170,1911,2243,2085
ENSMUSG00000028378,1024,589,927,480,1406,406,1264,365
ENSMUSG00000070972,239,104,228,94,130,136,116,148
ENSMUSG00000038607,14,9,25,4,17,9,17,2
ENSMUSG00000028381,527,879,631,828,814,943,827,1049
ENSMUSG00000038578,276,125,272,156,458,217,459,192
ENSMUSG00000028382,8147,8208,9061,9032,9475,7522,9659,7929
ENSMUSG00000028383,545,856,551,967,568,572,468,580
ENSMUSG00000045071,76,19,99,25,63,34,81,40
ENSMUSG00000038544,1410,582,1414,529,743,866,729,915
ENSMUSG00000028385,3322,4072,3469,4112,3803,3872,4209,4063
ENSMUSG00000066152,1171,2313,1140,2233,1424,1801,1324,1773
ENSMUSG00000066151,3362,1526,3487,1441,7752,4390,7414,4028
ENSMUSG00000066150,2682,1963,2799,2020,3340,1067,3269,1061
ENSMUSG00000066149,648,395,632,390,635,550,653,531
ENSMUSG00000066148,854,1462,946,1475,503,645,439,645
ENSMUSG00000063851,16,2,15,1,3,1,0,0
ENSMUSG00000028392,12,0,16,2,52,3,35,1
ENSMUSG00000038422,54,11,52,9,21,26,24,30
ENSMUSG00000028393,371,49,370,73,205,146,198,151
ENSMUSG00000028394,1189,731,1217,724,782,712,825,714
ENSMUSG00000058046,7,26,8,32,16,258,15,228
ENSMUSG00000059810,169,81,172,64,187,152,153,147
ENSMUSG00000028358,131,4,147,1,6,6,9,5
ENSMUSG00000028356,15,9,9,4,1,0,0,2
ENSMUSG00000045672,8,9,7,3,5,1,3,1
ENSMUSG00000039196,10,7,0,0,0,2,0,2
ENSMUSG00000061540,9,4,3,2,3,3,2,2
ENSMUSG00000039158,1585,1164,1638,1214,2502,2137,2365,2175
ENSMUSG00000039137,28,14,18,13,8,11,8,4
ENSMUSG00000039105,2746,2295,2459,2049,2309,1727,2187,1774
ENSMUSG00000045917,547,377,581,293,518,625,464,560
ENSMUSG00000050395,3,71,0,70,32,160,15,163
ENSMUSG00000028362,39,646,36,665,94,574,73,677
ENSMUSG00000028364,35,71,29,62,16,9,2,4
ENSMUSG00000086755,10,118,13,153,0,123,1,149
ENSMUSG00000051675,507,188,504,131,603,347,553,346
ENSMUSG00000039005,2330,3002,2550,3078,2767,4946,2650,5389
ENSMUSG00000039298,1326,811,1342,791,1111,846,1127,926
ENSMUSG00000039270,441,56,523,66,241,69,257,109
ENSMUSG00000008305,571,99,577,116,265,214,180,221
ENSMUSG00000059343,767,633,702,571,448,317,502,306
ENSMUSG00000028397,616,374,661,350,796,721,785,802
ENSMUSG00000028398,1041,474,931,501,1179,934,1192,875
ENSMUSG00000028403,1153,700,1505,841,458,591,505,674
ENSMUSG00000038172,732,776,808,879,487,548,453,693
ENSMUSG00000028483,226,129,255,123,247,225,217,261
ENSMUSG00000028484,1134,735,1324,654,711,328,776,310
ENSMUSG00000052407,54,77,57,60,97,122,95,128
ENSMUSG00000038070,347,178,407,216,412,173,429,186
ENSMUSG00000070934,1618,1209,1672,1177,1172,1446,1105,1515
ENSMUSG00000038047,672,242,751,226,388,223,446,241
ENSMUSG00000028494,21435,31768,20001,30222,13065,26647,12004,26974
ENSMUSG00000038024,2370,1411,2546,1389,4233,3293,3986,3552
ENSMUSG00000028495,272,137,275,142,234,132,211,120
ENSMUSG00000038007,21,6,26,10,45,7,31,13
ENSMUSG00000028496,90,404,98,416,407,228,332,253
ENSMUSG00000038368,201,195,209,213,179,171,165,171
ENSMUSG00000028497,2706,1437,3032,1503,12586,5841,11463,5867
ENSMUSG00000048806,1,3,0,2,1,3,0,0
ENSMUSG00000078354,0,0,0,0,0,0,0,0
ENSMUSG00000070923,1543,816,1654,756,2660,1439,2671,1418
ENSMUSG00000101252,0,0,0,0,0,0,0,0
ENSMUSG00000096682,0,0,0,0,0,0,0,0
ENSMUSG00000070904,0,0,0,0,0,0,0,0
ENSMUSG00000095498,0,0,0,0,0,0,0,0
ENSMUSG00000062937,1376,150,1515,153,359,546,379,575
ENSMUSG00000044303,183,119,141,89,165,62,176,57
ENSMUSG00000073802,128,21,90,9,34,82,42,83
ENSMUSG00000066107,13,6,11,9,15,5,13,8
ENSMUSG00000054000,235,99,199,85,233,270,209,238
ENSMUSG00000028578,283,225,295,222,204,220,211,237
ENSMUSG00000028577,2103,1353,2276,1327,1651,1927,1555,2076
ENSMUSG00000028576,344,225,381,232,378,157,289,179
ENSMUSG00000062627,769,368,763,395,809,591,858,678
ENSMUSG00000052684,3525,3108,3377,3089,1574,3192,1618,3339
ENSMUSG00000084918,31,21,28,23,63,60,52,65
ENSMUSG00000028573,290,297,267,351,544,653,558,622
ENSMUSG00000028572,16,2,21,1,21,15,30,17
ENSMUSG00000052914,201,84,192,106,263,86,208,67
ENSMUSG00000015224,11,6,9,2,40,2,26,2
ENSMUSG00000028565,131,34,137,29,329,121,323,123
ENSMUSG00000028563,453,398,377,381,307,420,366,436
ENSMUSG00000061859,16,25,21,36,57,56,51,62
ENSMUSG00000028560,2659,964,2758,1124,1292,739,1365,802
ENSMUSG00000028556,1664,519,1656,562,1336,1003,1388,991
ENSMUSG00000028553,29,38,41,34,49,169,32,158
ENSMUSG00000028550,505,230,552,203,598,551,670,504
ENSMUSG00000073792,338,101,355,117,223,177,277,174
ENSMUSG00000028549,148,84,160,66,158,61,175,54
ENSMUSG00000073791,39,12,51,7,32,41,38,31
ENSMUSG00000025791,728,2215,782,2203,642,869,659,841
ENSMUSG00000028530,5575,4411,5732,4664,8667,5827,8161,5976
ENSMUSG00000086782,14,115,10,100,138,120,100,143
ENSMUSG00000028527,38,85,31,43,11,5,8,3
ENSMUSG00000035212,3234,2257,3139,2197,3812,2581,3712,2584
ENSMUSG00000028525,124,64,135,100,751,108,601,110
ENSMUSG00000035126,37,27,29,33,49,35,56,50
ENSMUSG00000028522,1130,2391,1260,2508,2821,2023,2499,2208
ENSMUSG00000028521,313,113,303,125,137,245,197,260
ENSMUSG00000035069,479,319,477,279,432,438,402,487
ENSMUSG00000028518,14,7,30,5,7,6,9,14
ENSMUSG00000028517,33,35,29,28,24,29,20,25
ENSMUSG00000028514,2698,732,2989,825,1560,1418,1655,1461
ENSMUSG00000034926,4744,366,4864,417,656,28,953,26
ENSMUSG00000043572,164,90,191,80,130,135,126,116
ENSMUSG00000025413,836,484,824,535,803,709,784,668
ENSMUSG00000034853,725,232,816,235,348,228,342,202
ENSMUSG00000061887,1269,718,1303,661,1227,975,1213,884
ENSMUSG00000028622,1029,703,1045,745,916,795,835,805
ENSMUSG00000028621,151,17,160,22,148,81,148,83
ENSMUSG00000028619,888,1248,892,1180,1357,1431,1224,1375
ENSMUSG00000028618,5278,5777,4903,5478,7287,6656,6692,6735
ENSMUSG00000028617,405,285,399,245,212,230,285,215
ENSMUSG00000063172,183,116,157,123,214,163,209,164
ENSMUSG00000057375,968,1029,1045,995,976,1122,971,1150
ENSMUSG00000028614,2043,337,2133,369,946,381,1073,386
ENSMUSG00000028613,1124,72,1394,74,93,26,127,23
ENSMUSG00000028609,830,454,875,412,591,525,572,561
ENSMUSG00000028608,552,278,475,298,291,343,295,385
ENSMUSG00000028607,815,471,817,486,659,533,707,505
ENSMUSG00000028603,2136,1294,2060,1314,2770,1737,2398,1772
ENSMUSG00000034636,1710,726,1916,820,1597,1117,1623,1217
ENSMUSG00000048351,161,90,216,99,125,157,122,180
ENSMUSG00000028597,22,16,26,14,33,19,25,23
ENSMUSG00000034610,1015,1897,1136,1841,1951,2648,1898,2969
ENSMUSG00000063800,664,3788,690,3555,557,1328,580,1405
ENSMUSG00000028587,220,134,228,124,53,37,54,43
ENSMUSG00000028582,1234,592,1327,653,1494,1108,1503,1042
ENSMUSG00000091985,30,9,15,11,27,18,31,24
ENSMUSG00000034557,109,36,121,30,90,30,83,22
ENSMUSG00000028568,487,72,463,90,347,212,333,209
ENSMUSG00000028567,1594,1132,1504,1121,1797,1522,1768,1584
ENSMUSG00000073775,284,46,286,61,99,112,111,132
ENSMUSG00000003411,13,10,17,11,7,3,10,7
ENSMUSG00000053510,3892,2305,4213,2356,3302,2974,3299,3176
ENSMUSG00000028559,3470,3540,3365,3493,5400,4099,4968,4016
ENSMUSG00000028552,5704,1422,6501,1480,8237,3393,7894,3192
ENSMUSG00000028555,55,4,56,0,60,86,60,78
ENSMUSG00000028557,1607,1199,1737,1222,1564,1358,1456,1574
ENSMUSG00000028551,2427,609,2430,613,2945,333,2952,364
ENSMUSG00000010517,1144,554,1191,621,899,930,840,895
ENSMUSG00000034401,817,1107,863,1094,1290,753,1139,845
ENSMUSG00000070868,5,0,6,0,64,7,40,7
ENSMUSG00000055210,37,8,38,9,30,31,27,17
ENSMUSG00000028719,4405,4379,4558,4586,2674,3029,2766,3329
ENSMUSG00000028718,652,103,782,122,521,90,604,83
ENSMUSG00000028717,974,596,1154,676,330,427,300,407
ENSMUSG00000028716,143,75,133,71,197,320,181,315
ENSMUSG00000034210,1303,1356,1353,1327,1380,1346,1308,1411
ENSMUSG00000028710,165,76,169,53,220,94,186,67
ENSMUSG00000028709,378,574,398,547,814,682,839,655
ENSMUSG00000028708,1367,1300,1355,1300,4246,3052,4014,2993
ENSMUSG00000034171,1,18,2,9,0,3,0,0
ENSMUSG00000028706,232,341,268,377,195,253,206,270
ENSMUSG00000063882,1347,1270,1371,1177,1704,979,1631,1100
ENSMUSG00000028703,998,784,1059,819,913,1081,897,1123
ENSMUSG00000028702,792,414,858,452,325,108,378,124
ENSMUSG00000028700,981,362,916,349,556,645,564,633
ENSMUSG00000028701,25,20,32,18,27,12,22,12
ENSMUSG00000028698,34,30,49,52,14,32,17,23
ENSMUSG00000003810,2153,775,2284,816,865,954,1015,906
ENSMUSG00000028696,131,30,112,40,121,146,137,121
ENSMUSG00000055900,413,173,491,163,308,293,351,347
ENSMUSG00000034042,1319,1049,1334,973,1827,1573,1709,1697
ENSMUSG00000034035,63,38,64,43,110,104,110,110
ENSMUSG00000028693,1538,747,1520,786,880,731,885,770
ENSMUSG00000028692,32397,52088,29667,48642,34263,43934,33296,43845
ENSMUSG00000028691,18159,25716,17494,23738,13516,8656,13361,8791
ENSMUSG00000028690,485,32,442,36,142,136,196,130
ENSMUSG00000028689,178,73,209,77,414,257,435,238
ENSMUSG00000033985,201,47,236,27,462,104,374,75
ENSMUSG00000028688,249,116,233,150,219,160,197,165
ENSMUSG00000028687,72,26,78,25,50,13,69,24
ENSMUSG00000028684,731,333,636,303,1063,454,935,441
ENSMUSG00000046861,1201,510,1192,508,1801,1630,1708,1495
ENSMUSG00000028683,331,47,367,36,119,157,119,135
ENSMUSG00000073771,277,25,300,28,66,228,111,243
ENSMUSG00000047671,53,6,42,9,28,106,37,99
ENSMUSG00000028680,256,33,281,22,13,77,13,73
ENSMUSG00000047675,908,660,748,444,735,360,683,404
ENSMUSG00000028678,1281,108,1413,151,1484,82,1557,91
ENSMUSG00000048772,5,3,4,5,64,5,63,4
ENSMUSG00000028677,1665,748,1577,730,1615,1752,1513,1665
ENSMUSG00000033423,1041,529,1017,514,1214,826,1258,774
ENSMUSG00000009640,471,360,451,274,581,326,520,326
ENSMUSG00000028542,24,23,10,16,0,9,3,13
ENSMUSG00000033379,5287,3936,4683,3488,5708,4277,5381,4454
ENSMUSG00000028540,315,79,347,94,116,242,112,225
ENSMUSG00000033365,1510,445,1528,496,1129,958,1161,1002
ENSMUSG00000028538,370,119,385,118,513,161,463,149
ENSMUSG00000033326,1329,1213,1354,1182,1879,1619,1870,1752
ENSMUSG00000033295,54,25,53,26,14,1,11,1
ENSMUSG00000006395,267,100,240,81,354,517,367,446
ENSMUSG00000033253,515,319,505,311,635,491,641,514
ENSMUSG00000006392,1376,928,1276,823,825,1075,773,1076
ENSMUSG00000006390,4499,2291,4425,2313,1763,3415,1904,3436
ENSMUSG00000006398,1464,97,1502,89,1824,73,1878,82
ENSMUSG00000028729,986,346,931,342,374,608,395,630
ENSMUSG00000028645,1326,1505,1247,1279,403,563,468,561
ENSMUSG00000045268,102,156,113,156,84,113,80,110
ENSMUSG00000028643,291,823,261,798,213,415,211,400
ENSMUSG00000078584,396,163,403,140,289,188,273,225
ENSMUSG00000028641,515,200,501,178,343,169,322,160
ENSMUSG00000028639,16655,10216,16249,10263,14297,7514,14563,7341
ENSMUSG00000060288,147,77,145,74,74,42,77,63
ENSMUSG00000028636,217,85,209,94,111,220,146,221
ENSMUSG00000087385,25,8,28,6,58,54,48,53
ENSMUSG00000032998,795,257,864,250,988,819,926,794
ENSMUSG00000028634,673,78,633,70,387,160,414,182
ENSMUSG00000000085,812,291,926,325,785,286,797,284
