ensgene,gso32.BL6.N.N.4h.1,gso32.BL6.IFNb.N.4h.1,gso32.BL6.N.N.4h.2,gso32.BL6.IFNb.N.4h.2,gso32.BL6.N.N.24h.1,gso32.BL6.IFNb.N.24h.1,gso32.BL6.N.N.24h.2,gso32.BL6.IFNb.N.24h.2
ENSMUSG00000026068,268,113,248,108,244,23,183,44
ENSMUSG00000026065,8,1,3,1,4,25,2,19
ENSMUSG00000041945,146,543,171,569,198,135,164,160
ENSMUSG00000060679,633,425,675,378,753,598,706,580
ENSMUSG00000070939,1700,704,1903,764,2130,1471,2067,1518
ENSMUSG00000010290,457,198,439,195,416,364,382,460
ENSMUSG00000066877,285,624,264,680,337,464,365,456
ENSMUSG00000057363,836,482,919,487,516,461,527,501
ENSMUSG00000041763,4077,2692,4411,2951,2717,2584,2665,2948
ENSMUSG00000026049,341,343,342,339,143,295,147,312
ENSMUSG00000026047,386,102,458,91,366,192,365,205
ENSMUSG00000041684,405,126,434,138,527,297,476,304
ENSMUSG00000026048,284,137,277,151,464,439,531,451
ENSMUSG00000025995,791,74,841,95,199,430,224,449
ENSMUSG00000025993,296,68,339,85,12438,885,12322,794
ENSMUSG00000025986,1655,427,1827,457,868,1303,896,1389
ENSMUSG00000100213,9,2,4,1,36,9,32,11
ENSMUSG00000026107,1240,741,1254,679,893,1796,879,1935
ENSMUSG00000018417,233,19,240,13,41,43,43,32
ENSMUSG00000062939,299,106,286,97,381,22,415,21
ENSMUSG00000026104,3946,42657,4068,40833,5486,31396,5283,33035
ENSMUSG00000026103,2306,854,2803,956,1624,1078,1684,1162
ENSMUSG00000002881,2426,2715,2526,2702,1581,1908,1601,2167
ENSMUSG00000043015,262,77,296,90,275,105,267,103
ENSMUSG00000041439,2618,779,2935,802,2101,2469,2059,2556
ENSMUSG00000026102,575,1546,583,1540,452,1108,428,1139
ENSMUSG00000041426,451,80,441,86,329,295,325,302
ENSMUSG00000026098,201,36,175,34,146,98,134,72
ENSMUSG00000026097,568,187,606,216,476,378,419,440
ENSMUSG00000026096,96,19,128,26,114,94,115,72
ENSMUSG00000026095,355,145,369,140,383,303,341,276
ENSMUSG00000026094,2388,342,2599,352,2387,2161,2491,2354
ENSMUSG00000041303,669,677,779,745,752,550,758,568
ENSMUSG00000073678,401,250,457,247,1696,810,1527,818
ENSMUSG00000052331,1563,698,1646,764,3281,1814,2999,2099
ENSMUSG00000025982,6685,5067,7161,5317,7342,5512,6913,5972
ENSMUSG00000025981,418,839,381,853,131,354,108,470
ENSMUSG00000025980,1746,531,1915,516,661,790,728,805
ENSMUSG00000073676,394,263,366,270,271,322,266,277
ENSMUSG00000025979,1140,652,1225,643,775,740,761,867
ENSMUSG00000025978,66,30,60,34,150,141,119,131
ENSMUSG00000046994,277,24,319,31,65,96,88,97
ENSMUSG00000038349,29,5,29,6,57,7,42,8
ENSMUSG00000038331,81,33,92,37,28,53,35,56
ENSMUSG00000097519,40,9,25,7,20,4,26,7
ENSMUSG00000038323,432,92,403,87,397,205,441,231
ENSMUSG00000048495,150,165,189,183,171,184,148,160
ENSMUSG00000025971,211,269,204,223,229,345,237,303
ENSMUSG00000038305,0,112,0,111,1,41,2,43
ENSMUSG00000054770,413,268,389,248,362,430,360,418
ENSMUSG00000026039,462,56,500,55,382,44,430,48
ENSMUSG00000063558,9,8,5,0,2,4,8,3
ENSMUSG00000051223,7109,3560,7909,3905,3619,2915,3754,3161
ENSMUSG00000026034,1932,1041,2051,1020,4513,1861,4243,2085
ENSMUSG00000026035,365,114,353,134,314,344,334,304
ENSMUSG00000026036,647,272,578,237,343,432,372,415
ENSMUSG00000026037,922,164,1069,185,321,292,334,293
ENSMUSG00000038174,337,95,429,128,479,273,465,278
ENSMUSG00000026032,673,402,578,373,774,581,681,619
ENSMUSG00000026031,1413,3528,1682,3783,1801,3199,1738,3699
ENSMUSG00000026029,3348,7493,3411,7267,2948,3787,2814,3966
ENSMUSG00000026028,1582,833,1843,954,1380,1011,1317,1136
ENSMUSG00000026027,583,224,579,254,777,563,713,558
ENSMUSG00000038079,450,224,527,265,439,261,440,268
ENSMUSG00000026024,650,588,693,610,789,583,771,641
ENSMUSG00000026023,194,118,112,93,161,253,137,241
ENSMUSG00000041075,563,1420,557,1431,367,519,370,554
ENSMUSG00000097819,13,25,16,35,2,5,2,4
ENSMUSG00000026021,809,1406,895,1325,1152,911,1118,925
ENSMUSG00000026020,1877,112,1961,135,283,433,341,403
ENSMUSG00000067336,1843,1003,2330,1155,2581,1319,2684,1305
ENSMUSG00000041040,874,499,1005,485,1367,720,1288,788
ENSMUSG00000026019,584,35,626,34,340,266,363,258
ENSMUSG00000026017,125,11,138,15,137,80,135,87
ENSMUSG00000073664,753,489,897,498,721,459,699,626
ENSMUSG00000049439,727,192,795,202,443,308,465,347
ENSMUSG00000026782,875,112,959,114,1013,157,1070,194
ENSMUSG00000026014,1066,467,1151,559,2716,906,2650,938
ENSMUSG00000026012,433,242,465,230,5416,1658,4932,1406
ENSMUSG00000026009,6,1,11,3,36,2,34,3
ENSMUSG00000052062,56,25,40,19,51,10,49,6
ENSMUSG00000025969,9616,11741,10811,13080,8376,5164,8350,5102
ENSMUSG00000040865,652,530,707,628,841,678,868,765
ENSMUSG00000084799,17,3,17,11,22,27,28,16
ENSMUSG00000101599,47,16,69,25,93,39,91,61
ENSMUSG00000025968,1788,932,1851,915,1428,897,1356,1019
ENSMUSG00000025967,5191,3194,5109,2857,5724,2661,5407,2829
ENSMUSG00000025962,532,214,579,218,285,337,325,354
ENSMUSG00000025959,224,34,264,31,141,157,193,128
ENSMUSG00000025958,1466,535,1777,510,1583,940,1594,1059
ENSMUSG00000025956,328,105,377,120,458,248,445,228
ENSMUSG00000070871,311,121,306,129,94,108,119,108
ENSMUSG00000045005,323,291,301,319,154,148,166,150
ENSMUSG00000051344,1386,1182,1465,1274,1617,3284,1603,3539
ENSMUSG00000044816,21,3,17,1,119,98,65,53
ENSMUSG00000025950,3940,841,3852,835,6584,1313,6114,1326
ENSMUSG00000025949,1401,1635,1737,1795,2195,1812,2066,1952
ENSMUSG00000015222,73,611,77,594,20,537,22,615
ENSMUSG00000026005,1003,1375,1097,1419,687,958,714,974
ENSMUSG00000026004,236,282,274,294,507,279,617,308
ENSMUSG00000026003,2149,2611,2218,2786,2085,1286,2009,1357
ENSMUSG00000026000,605,265,605,259,746,443,716,415
ENSMUSG00000025997,28,55,27,31,80,12,74,10
ENSMUSG00000026196,451,259,496,256,187,80,231,92
ENSMUSG00000026192,2614,369,2703,383,627,860,611,855
ENSMUSG00000026193,170,92,134,93,106,33,62,13
ENSMUSG00000039395,3,2,5,3,0,8,0,5
ENSMUSG00000026189,81,63,112,60,89,93,62,91
ENSMUSG00000026187,85,14,64,16,44,29,31,38
ENSMUSG00000039354,590,488,617,494,810,724,732,678
ENSMUSG00000046330,440,283,383,273,466,205,430,243
ENSMUSG00000055322,502,202,490,226,3269,496,2874,437
ENSMUSG00000006304,26435,25877,26069,26441,18942,21237,19748,20649
ENSMUSG00000006299,2757,1629,2581,1668,3116,1994,2890,1935
ENSMUSG00000026179,298,147,276,157,468,294,414,241
ENSMUSG00000006301,3752,1001,3776,1038,1928,1797,1753,1812
ENSMUSG00000073650,17,6,6,4,11,3,14,10
ENSMUSG00000026177,3929,2851,3799,2838,5119,5182,4942,5150
