"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000033845",620.947572404585,-0.359793416016609,0.112282525515354,-3.20435806342287,0.0013536401515221,0.00232788184805153
"ENSMUSG00000025903",1062.51057954832,0.329183927504438,0.0973824256771845,3.38032170810428,0.000724010311411938,0.00127845193595766
"ENSMUSG00000033813",941.843142817691,1.43517231795984,0.093349806090487,15.3741328243219,2.44089602160252e-53,2.10084817034559e-52
"ENSMUSG00000033793",1980.75431019171,0.461292134231638,0.0734749933067653,6.27821947945879,3.42472246265889e-10,9.54547059868179e-10
"ENSMUSG00000025907",1149.21887120874,-0.0588061553379089,0.0961009441214163,-0.611920682731397,0.540590236756897,0.599735252915186
"ENSMUSG00000033740",315.279694893751,0.97270067820227,0.180527720594065,5.38809593895826,7.12080404300111e-08,1.73321339223524e-07
"ENSMUSG00000051285",1593.55037981157,1.56490018605969,0.0823569105428282,19.0014435430515,1.65917755887155e-80,1.9902184453782e-79
"ENSMUSG00000061024",284.921887175235,-2.15372561018406,0.172379209485077,-12.4941146708908,8.03861692173772e-36,5.04094139764254e-35
"ENSMUSG00000025911",49.90230189128,0.303111933894258,0.34516091148333,0.878175725610509,0.379848363100438,0.441634114855332
"ENSMUSG00000025912",147.381454326909,-2.6240428667474,0.26636570972118,-9.8512787907052,6.76773355543863e-23,3.13433163146294e-22
"ENSMUSG00000045210",4521.50732226308,2.45694514158601,0.0662746355310006,37.0721788494295,7.88929064099922e-301,3.5284852391869e-299
"ENSMUSG00000025915",2611.23964204015,1.225254298123,0.0690289984311076,17.7498489905779,1.72818085695269e-70,1.859279112682e-69
"ENSMUSG00000098234",270.963274587783,-0.192646701830542,0.171279131897841,-1.12475290886834,0.260693754507166,0.315792985847673
"ENSMUSG00000099032",14.6398889760983,0.944628558828642,0.632377018439842,1.49377433284841,0.135234612368496,0.175007032209432
"ENSMUSG00000025917",1547.37638887135,0.305603378051535,0.0816360680562373,3.7434847773537,0.000181485602293035,0.00033855864703049
"ENSMUSG00000056763",345.753734841147,-0.0329540650264267,0.154241461271175,-0.213652443090444,0.830818099842993,0.861072172832393
"ENSMUSG00000067851",2691.23374715331,0.927656217765665,0.0710228623681305,13.0613747015345,5.47304525019251e-39,3.68687174115981e-38
"ENSMUSG00000025938",6.2211552744489,-1.54023960475285,1.05236756874413,-1.46359470825477,0.143304719287838,0.184440390507871
"ENSMUSG00000005886",1708.25056403742,-0.117465576838802,0.0796370942780435,-1.47501083387956,0.140209630763539,0.180865802024289
"ENSMUSG00000025935",4146.39562874266,-0.338738100584073,0.063911297125084,-5.30012870684055,1.15721073769056e-07,2.78099214509669e-07
"ENSMUSG00000025937",930.685174944138,-1.35827175296691,0.100959938292314,-13.4535715447274,2.933536222406e-41,2.06850642529225e-40
"ENSMUSG00000025932",543.755995136607,-0.381434968500952,0.1495660086229,-2.55027844904695,0.0107636912500623,0.0165269379014872
"ENSMUSG00000025925",289.322765026484,-0.723742751733101,0.171033342073899,-4.23158866544508,2.3204648561267e-05,4.68167897426691e-05
"ENSMUSG00000043716",4266.88155116073,0.207900735283176,0.0641886125945942,3.23890370705232,0.00119990076197362,0.00207517708081696
"ENSMUSG00000025921",216.725878828873,-1.9233630604734,0.204927770346464,-9.385565739683,6.25795724877508e-21,2.71735085389772e-20
