Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
ENSMUSG00000033845,620.947572404585,0.105980381860821,0.112312620839578,0.943619524400542,0.345364111343613,0.416024890953834,Mrpl15
ENSMUSG00000025903,1062.51057954832,0.180209919208961,0.0970802834559598,1.85629782684671,0.0634111186838952,0.0931383344215834,Lypla1
ENSMUSG00000033813,941.843142817691,0.678166656094281,0.0994781157226282,6.81724468912532,9.28031263267925e-12,3.71420118565172e-11,Tcea1
ENSMUSG00000033793,1980.75431019171,0.255419984872879,0.0760981691433577,3.35645374584119,0.0007894892548132,0.0015967012173815,Atp6v1h
ENSMUSG00000025907,1149.21887120874,-0.253255486213723,0.0882995986841208,-2.86813858712664,0.004128946292351,0.0075462338615166,Rb1cc1
ENSMUSG00000033740,315.279694893751,0.539246784049333,0.139566562187353,3.86372477474549,0.0001116710391428,0.0002519287377383,St18
ENSMUSG00000051285,1593.55037981157,-0.277502321653068,0.0806911474095834,-3.43906773619766,0.0005837211608502,0.001204868979286,Pcmtd1
ENSMUSG00000061024,284.921887175235,1.08206027569878,0.167709366601958,6.45199667509892,1.10386001617234e-10,4.13881406662461e-10,Rrs1
ENSMUSG00000025911,49.90230189128,-1.02997829142978,0.387875760574753,-2.65543350763544,0.0079206546912957,0.0137898455024463,Adhfe1
ENSMUSG00000025912,147.381454326909,-1.19715393270849,0.225922875880273,-5.29894959969841,1.16470775869078e-07,3.50195324419798e-07,Mybl1
ENSMUSG00000045210,4521.50732226308,0.818401988809304,0.064814105816533,12.6269116652774,1.5005263504796098e-36,1.4399303821499e-35,Vcpip1
ENSMUSG00000025915,2611.23964204015,1.03600249926792,0.0704484640172722,14.7058209674227,5.9149194331934496e-49,7.08150440362157e-48,Sgk3
ENSMUSG00000098234,270.963274587783,1.4419210429351,0.157988323254614,9.12675704907191,7.05818858692984e-20,4.16735953201897e-19,Snhg6
ENSMUSG00000099032,14.6398889760983,-0.917697180128153,0.755526109693465,-1.21464654676261,0.224500927762633,0.286062791857087,Tcf24
ENSMUSG00000025917,1547.37638887135,0.891141881675711,0.0824865271352167,10.8034840673423,3.3138538785713096e-27,2.4879731487619002e-26,Cops5
ENSMUSG00000056763,345.753734841147,-0.0320836523311563,0.145677432356374,-0.220237629207174,0.82568609212978,0.863110762248851,Cspp1
ENSMUSG00000067851,2691.23374715331,0.457122710855035,0.072420110988736,6.31209624804545,2.7528092542338603e-10,1.00534938147479e-09,Arfgef1
ENSMUSG00000025938,6.2211552744489,-1.70741629435168,1.46528481699256,-1.16524533288763,0.243919700416924,0.308048246099349,Slco5a1
ENSMUSG00000005886,1708.25056403742,0.166035139266377,0.074898629280126,2.21679810247787,0.0266368912496896,0.0423209577670468,Ncoa2
ENSMUSG00000025935,4146.39562874266,-0.270829780553021,0.0638534044647045,-4.24143055211291,2.22099614766104e-05,5.40908882869685e-05,Tram1
ENSMUSG00000025937,930.685174944138,0.0046315659153063,0.0962936953159687,0.048098329803512,0.961637877290529,0.971065993549903,Lactb2
ENSMUSG00000025932,543.755995136607,-0.0250518701570697,0.123737837489063,-0.202459253090502,0.839557710074329,0.874494316897466,Eya1
ENSMUSG00000025925,289.322765026484,-0.736956860837753,0.16439531833351,-4.48283362511993,7.36583567520072e-06,1.8828814076452e-05,Terf1
ENSMUSG00000043716,4266.88155116073,-0.40375148914372,0.0637523233469126,-6.33312588384706,2.40243391420261e-10,8.820193464543901e-10,Rpl7
ENSMUSG00000025921,216.725878828873,-1.10526552749217,0.18433248860389,-5.99604299742986,2.0218350870725404e-09,6.961627933849161e-09,Rdh10
ENSMUSG00000025920,456.8889348262,-0.0418480259345674,0.132334351506569,-0.316229500943223,0.751828317286926,0.800471519927238,Stau2
ENSMUSG00000025939,646.566195010076,0.288588430204343,0.10923561729161,2.64188949867827,0.0082444949385885,0.0143079005149591,Ube2w
ENSMUSG00000079658,1236.81009151542,0.246648427459292,0.0927584907444607,2.65903881660581,0.0078363933924327,0.0136507378569252,Tceb1
ENSMUSG00000025940,574.997867810682,0.225489726565259,0.119911916601126,1.88046136661568,0.0600452268531671,0.0887671320838404,Tmem70
ENSMUSG00000025779,392.68580574942,0.701270836756752,0.133242738629728,5.26310734805245,1.41640819939726e-07,4.23535813778699e-07,Ly96
ENSMUSG00000041859,1426.16484191938,-0.824183924296846,0.101104859772674,-8.15177357596808,3.58625295970896e-16,1.81750893623777e-15,Mcm3
ENSMUSG00000025931,41.2466757638566,-2.3517575480566,0.451849456136113,-5.20473692314939,1.94271624551739e-07,5.75009112328393e-07,Paqr8
ENSMUSG00000041809,14.0254990074343,-0.393082871446862,0.640198167150329,-0.614001869447027,0.539214091857065,0.607683411836395,Efhc1
ENSMUSG00000041779,518.777691870888,0.360442509413321,0.126193753592078,2.85626268458938,0.0042866032157223,0.0078081646647987,Tram2
ENSMUSG00000025933,58.3828715271821,-0.373375828905367,0.328833303482892,-1.13545624774223,0.256184203794312,0.321752560838048,Tmem14a
ENSMUSG00000025934,3.68109793785071,-0.338525064079317,1.40451312941128,-0.241026628367094,0.809534478359164,0.849417701926419,Gsta3
ENSMUSG00000026158,2118.86058944894,1.11675107790309,0.0822451495998077,13.5783214370334,5.3846338762064397e-42,5.65702768722594e-41,Ogfrl1
ENSMUSG00000026155,637.751994931887,0.312784855052033,0.113145686475978,2.76444347808559,0.0057019984774278,0.0101718129533945,Smap1
ENSMUSG00000026154,157.275085432025,-0.541057025254799,0.202129001437473,-2.67679067034906,0.0074331059115977,0.0129934094543466,1110058L19Rik
ENSMUSG00000026153,179.452824331292,-0.622462890898044,0.196842699595743,-3.16223508505218,0.0015656311616587,0.0030345765419366,Fam135a
ENSMUSG00000026141,1.47191131842802,-0.358671542834122,1.99861492241942,-0.179460054466086,0.857576480019767,0.889467472195423,Col19a1
ENSMUSG00000073725,2068.81587771153,0.518701067823756,0.0701318786692265,7.39608117829245,1.40262278490582e-13,6.193598425731859e-13,Lmbrd1
ENSMUSG00000048874,1580.96023290336,-0.186613947811259,0.0775984151082697,-2.40486803178757,0.016178306865418,0.026770736902171,Phf3
ENSMUSG00000026064,238.511489035771,0.260126195171597,0.173862990556834,1.49615622242829,0.13461294961957,0.182131897770791,Ptp4a1
ENSMUSG00000026134,476.115299133547,-0.486082392226849,0.132128988448948,-3.67884745000269,0.0002342903484769,0.0005077034147736,Prim2
ENSMUSG00000004768,97.577320797029,-0.958360730212075,0.262037225191792,-3.65734574356992,0.0002548405308109,0.0005493833650104,Rab23
ENSMUSG00000042215,87.2724838154219,-0.736527482733424,0.336690132256363,-2.18755292231914,0.0287021842572819,0.0453262866902826,Bag2
ENSMUSG00000042197,563.239537137625,0.11390254787241,0.116992244750604,0.973590583847847,0.330259863502851,0.400178449022371,Zfp451
ENSMUSG00000042182,27.7768888303122,0.535253198527459,0.493917109296895,1.0836903368045,0.278502121551694,0.345897259564798,Bend6
ENSMUSG00000026131,94.4441542149871,-0.798627321226501,0.301658725602588,-2.64745307675479,0.0081100613936209,0.0140941297297135,Dst
