"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000033845",620.947572404585,0.105980381860821,0.112312620839578,26.1109671203871,9.04055278218439e-06,1.24220805893455e-05
"ENSMUSG00000025903",1062.51057954832,0.180209919208961,0.0970802834559598,19.1290072708943,0.000257109684951424,0.000328683603985982
"ENSMUSG00000033813",941.843142817691,0.678166656094281,0.0994781157226282,473.403907029261,2.76769488330346e-102,1.90753126161856e-101
"ENSMUSG00000033793",1980.75431019171,0.255419984872879,0.0760981691433577,223.8798194527,2.91064647346407e-48,1.13198837848418e-47
"ENSMUSG00000025907",1149.21887120874,-0.253255486213723,0.0882995986841208,175.929959036157,6.67348381008778e-38,2.22088859297712e-37
"ENSMUSG00000033740",315.279694893751,0.539246784049333,0.139566562187353,333.001593606108,7.1463501307998e-72,3.73825157426925e-71
"ENSMUSG00000051285",1593.55037981157,-0.277502321653068,0.0806911474095834,368.468888000545,1.49386706577369e-79,8.45354598494528e-79
"ENSMUSG00000061024",284.921887175235,1.08206027569878,0.167709366601958,266.626525401712,1.65690331181836e-57,7.2830467440861e-57
"ENSMUSG00000025911",49.90230189128,-1.02997829142978,0.387875760574753,19.9371853482606,0.000174907026902615,0.000225903537324819
"ENSMUSG00000025912",147.381454326909,-1.19715393270849,0.225922875880273,135.255571162748,3.98400234764873e-29,1.11614455032674e-28
"ENSMUSG00000045210",4521.50732226308,0.818401988809304,0.064814105816533,1491.90852636759,3.45845952088873e-323,7.50979781678695e-322
"ENSMUSG00000025915",2611.23964204015,1.03600249926792,0.0704484640172722,614.223087703886,8.31686497387895e-133,7.13859493268582e-132
"ENSMUSG00000098234",270.963274587783,1.4419210429351,0.157988323254614,123.196613691976,1.58094933662556e-26,4.17244015649354e-26
"ENSMUSG00000099032",14.6398889760983,-0.917697180128153,0.755526109693465,11.7638292292486,0.00823756297640521,0.00960780489461883
"ENSMUSG00000025917",1547.37638887135,0.891141881675711,0.0824865271352167,146.073898721158,1.85193380745563e-31,5.45303716688615e-31
"ENSMUSG00000056763",345.753734841147,-0.0320836523311563,0.145677432356374,12.6057913111946,0.0055715064294368,0.00658598971265217
"ENSMUSG00000067851",2691.23374715331,0.457122710855035,0.072420110988736,330.632947207674,2.32749356300505e-71,1.20792382467933e-70
"ENSMUSG00000025938",6.2211552744489,-1.70741629435168,1.46528481699256,11.9459799062666,0.00757052007413421,0.00885454589412373
"ENSMUSG00000005886",1708.25056403742,0.166035139266377,0.074898629280126,119.694157230957,8.9805821909601e-26,2.33327449745629e-25
"ENSMUSG00000025935",4146.39562874266,-0.270829780553021,0.0638534044647045,74.9893187507403,3.6424691631379e-16,7.41580902779645e-16
"ENSMUSG00000025937",930.685174944138,0.00463156591530637,0.0962936953159687,193.432679672328,1.10677750939064e-41,3.91751688810034e-41
"ENSMUSG00000025932",543.755995136607,-0.0250518701570697,0.123737837489063,314.356302224065,7.77002554905354e-68,3.872026659403e-67
"ENSMUSG00000025925",289.322765026484,-0.736956860837753,0.16439531833351,38.7221766330323,1.98754255207541e-08,3.09769699808841e-08
"ENSMUSG00000043716",4266.88155116073,-0.40375148914372,0.0637523233469126,50.5720513733337,6.03476313602626e-11,1.0370981028195e-10
"ENSMUSG00000025921",216.725878828873,-1.10526552749217,0.18433248860389,127.488050141306,1.88089176688388e-27,5.07310092541176e-27
"ENSMUSG00000025920",456.8889348262,-0.0418480259345674,0.132334351506569,57.8429663452246,1.69803752286641e-12,3.08763233611966e-12
"ENSMUSG00000025939",646.566195010076,0.288588430204343,0.10923561729161,9.83712872332232,0.0200025661403598,0.0227162542645983
"ENSMUSG00000079658",1236.81009151542,0.246648427459292,0.0927584907444607,49.9984735356906,7.99516173664109e-11,1.36780615338738e-10
"ENSMUSG00000025940",574.997867810682,0.225489726565259,0.119911916601126,14.6140498610784,0.00217801736281511,0.00263427771243322
"ENSMUSG00000025779",392.68580574942,0.701270836756752,0.133242738629728,134.388877716894,6.1255349127933e-29,1.70846489338331e-28
"ENSMUSG00000041859",1426.16484191938,-0.824183924296846,0.101104859772674,608.555931889047,1.40786377319875e-131,1.19773627933206e-130
"ENSMUSG00000025931",41.2466757638566,-2.3517575480566,0.451849456136113,29.0143755316044,2.22390667372804e-06,3.15580547026586e-06
"ENSMUSG00000041809",14.0254990074343,-0.393082871446862,0.640198167150329,8.57260002432034,0.0355477128152685,0.0397290502084433
"ENSMUSG00000041779",518.777691870888,0.360442509413321,0.126193753592078,108.19215069707,2.68763816714888e-23,6.58140257473707e-23
